0.00,336746,0
0.00,339371,0
0.00,338815,0
0.00,332020,0
0.00,334994,0
0.00,338620,0
0.00,363260,0
0.00,352861,0
0.00,344598,0
0.00,344703,0
0.00,582527,0
0.00,589216,0
0.00,579240,0
0.00,603031,0
0.00,609042,0
0.00,637903,0
0.00,597192,0
0.00,599607,0
0.00,609584,0
0.00,644356,0
0.00,610502,0
0.00,555914,0
0.00,583663,0
0.00,629914,0
0.00,604472,0
0.00,592459,0
0.00,603910,0
0.00,635357,0
0.00,617183,0
0.00,616534,0
0.00,612210,0
0.00,641773,0
0.00,566804,0
0.00,613883,0
0.00,626073,0
0.00,583209,0
0.00,589722,0
0.00,687292,0
0.00,637332,0
0.00,599708,0
0.00,616195,0
0.00,608329,0
0.00,658424,0
0.00,563708,0
0.00,583113,0
0.00,590688,0
0.00,588112,0
0.00,601681,0
0.00,608468,0
0.00,599602,0
0.00,603034,0
0.00,608572,0
0.00,619966,0
0.00,653336,0
0.00,590468,0
0.00,615711,0
0.00,580239,0
0.00,626923,0
0.00,594504,0
0.00,598116,0
0.00,603554,0
0.00,618202,0
0.00,609364,0
0.00,609098,0
0.00,625160,0
0.00,577351,0
0.00,577455,0
0.00,582359,0
0.00,597343,0
0.00,587328,0
0.00,609815,0
0.00,612819,0
0.00,599603,0
0.00,629014,0
0.00,616755,0
0.00,610787,0
0.00,567426,0
0.00,577397,0
0.00,578527,0
0.00,597979,0
0.00,611491,0
0.00,611433,0
0.00,641604,0
0.00,630092,0
0.00,620499,0
0.00,620561,0
0.00,622957,0
0.00,567479,0
0.00,588060,0
0.00,586532,0
0.00,598835,0
0.00,607389,0
0.00,619659,0
0.00,678669,0
0.00,638019,0
0.00,632467,0
0.00,632835,0
0.00,650975,0
0.00,550726,0
0.00,583356,0
0.00,619257,0
0.00,622318,0
0.00,619734,0
0.00,627511,0
0.00,673325,0
0.00,651892,0
0.00,657297,0
0.00,660586,0
0.00,691002,0
0.00,562360,0
0.00,588523,0
0.00,627637,0
0.00,617111,0
0.00,610591,0
0.00,620015,0
0.00,649688,0
0.00,652054,0
0.00,705298,0
0.00,666622,0
0.00,669741,0
0.00,549586,0
0.00,638419,0
0.00,598506,0
0.00,598784,0
0.00,641104,0
0.00,604422,0
0.00,619201,0
0.00,628409,0
0.00,629762,0
0.00,625716,0
0.00,629544,0
0.00,591691,0
0.00,631468,0
0.00,609310,0
0.00,590932,0
0.00,596297,0
0.00,586517,0
0.00,600136,0
0.00,599811,0
0.00,641533,0
0.00,619331,0
0.00,617492,0
0.00,557350,0
0.00,633244,0
0.00,620612,0
0.00,607894,0
0.00,586932,0
0.00,600753,0
0.00,616750,0
0.00,616427,0
0.00,631777,0
0.00,620017,0
0.00,619217,0
0.00,550918,0
0.00,610378,0
0.00,596032,0
0.00,629644,0
0.00,604368,0
0.00,596961,0
0.00,612063,0
0.00,613861,0
0.00,606898,0
0.00,675003,0
0.00,635875,0
0.00,563034,0
0.00,634308,0
0.00,592737,0
0.00,582448,0
0.00,599946,0
0.00,604005,0
0.00,605645,0
0.00,640033,0
0.00,647024,0
0.00,606934,0
0.00,622180,0
0.00,563153,0
0.00,607863,0
0.00,590065,0
