0.03,675242,21349
0.12,623969,73980
0.02,743302,14014
0.03,679021,21887
0.03,656662,21601
0.00,317627,0
0.02,644009,13161
0.02,638158,14333
0.02,661478,12618
0.05,715247,37576
0.01,1032587,12896
0.03,841396,25219
0.01,872013,12810
0.01,1020416,14824
0.02,931495,14391
0.00,672794,0
0.03,866659,21872
0.01,1047669,13648
0.00,633595,0
0.02,894675,14656
0.02,930704,21422
0.03,855345,24915
0.02,978504,22371
0.02,950943,23590
0.00,666520,0
0.01,925100,13332
0.01,1084659,14370
0.01,1015865,12865
0.01,996578,14202
0.00,685860,0
0.00,634696,0
0.01,920672,12799
0.02,874202,13737
0.02,882151,14564
0.00,566469,0
0.00,587825,0
0.02,978456,16250
0.01,953154,13095
0.02,907296,14202
0.01,1154026,15629
0.02,978646,15328
0.02,919089,21883
0.02,948691,14785
0.01,919024,13307
0.01,997440,14468
0.02,815639,16475
0.00,729567,0
0.03,965141,24907
0.18,893291,162465
0.01,1005096,14060
0.02,1019401,22191
0.01,941704,12314
0.02,887122,13864
0.00,613195,0
0.02,880548,17850
0.02,840691,14001
0.02,911802,13830
0.00,611421,0
0.00,634659,0
0.02,1013776,23528
0.00,653912,0
0.02,891458,18142
0.02,853778,13529
0.01,924173,12647
0.00,686821,0
0.00,548764,0
0.01,963101,12608
0.00,575647,0
0.02,897130,13763
0.02,877345,14980
0.00,702736,0
0.00,679486,0
0.02,944426,22400
0.02,883695,14564
0.01,1024915,13258
0.02,912656,22588
0.00,587764,0
0.02,925758,16211
0.00,656761,0
0.00,582009,0
0.01,1057382,13138
0.01,1078820,14151
0.01,1029040,15428
0.03,869868,22776
0.03,895045,24825
0.04,946807,38784
0.02,906022,14947
0.00,554897,0
0.01,1060160,15240
0.01,998339,14048
0.02,881594,14693
0.00,634782,0
0.01,969982,14000
0.00,696869,0
0.02,929338,14557
0.02,1101741,18090
0.00,705131,0
0.00,770336,0
0.01,887027,13209
0.02,963236,21855
0.01,1139657,14194
0.01,956012,13454
0.02,923370,22726
0.02,857421,13321
0.02,1009089,23076
0.00,645705,0
0.01,1270767,18362
0.00,765427,0
0.01,1002341,12916
0.02,876530,14399
0.01,978731,13998
0.01,1000927,14652
0.01,977941,14662
0.00,626410,0
0.01,962419,13304
0.01,1049034,13550
0.01,1041721,14446
0.02,897961,14292
0.02,910644,15416
0.00,698081,0
0.02,894514,13504
0.00,602596,0
0.02,905371,21080
0.02,992125,15343
0.02,888781,13930
0.01,1029990,13504
0.00,655607,0
0.02,1076789,16567
0.01,997052,13218
0.00,629832,0
0.02,1008218,17569
0.00,607041,0
0.00,632618,0
0.01,1039617,13432
0.02,841600,14289
0.02,843964,12732
0.00,574919,0
0.01,857990,12852
0.02,991305,22398
0.00,684206,0
0.02,1023029,15396
0.00,572241,0
0.01,927301,13769
0.00,575047,0
0.01,1051579,7068
0.02,911155,14845
0.01,950861,13746
0.00,581996,0
0.02,1069548,16252
0.01,979514,13702
0.00,609196,0
0.03,893610,30011
0.02,929511,23096
0.02,825549,17219
0.02,929975,17348
0.00,642566,0
0.02,1118212,22713
0.02,971941,15858
0.02,912446,21007
0.01,1058858,15048
0.00,663520,0
0.01,874173,12888
0.02,980614,21537
0.02,960915,16440
0.00,556430,0
0.03,872500,22454
0.02,878604,14918
0.02,917975,22815
0.01,978405,13954
0.02,901366,13728
0.02,974899,22218
0.03,934484,27836
0.00,574057,0
0.00,677919,0
0.01,956182,13073
0.00,598457,0
0.02,947155,22383
0.01,936325,13370
0.02,798403,14155
0.00,681842,0
0.01,890555,12439
0.00,603861,0
0.02,1061279,16886
0.00,687286,0
0.02,905301,14770
0.00,590040,0
0.02,891636,14006
0.00,648917,0
0.02,923772,22527
0.00,620329,0
0.01,1027586,13234
0.02,1009047,15779
0.02,843356,15138
0.03,884141,27094
0.02,818529,13210
0.00,570407,0
0.01,944370,13752
0.02,844424,13149
0.02,877682,16467
0.02,884928,13637
0.02,782506,13703
0.02,995316,15262
0.02,963429,14580
0.00,584230,0
0.00,664319,0
0.00,631214,0
0.02,934476,14613
0.00,601848,0
0.02,990104,16415
0.02,1024113,16008
0.00,644578,0
0.02,994304,21554
0.02,877016,14148
0.02,827992,12758
0.01,1109394,15000
0.02,873911,21421
0.00,716015,0
0.01,1061903,15526
0.03,901685,23876
0.02,841505,13457
0.02,858175,12939
0.00,592978,0
0.02,899429,14197
0.03,780845,21782
0.01,1163331,16092
0.00,625547,0
0.00,658051,0
0.02,1039036,18700
0.01,960880,13577
0.01,1038940,13546
0.01,1052529,14903
0.01,941162,13376
0.02,856237,13493
0.02,1065078,21970
0.00,572360,0
0.01,950964,13609
0.02,865650,14233
0.02,920708,21971
0.00,684378,0
0.01,975734,13655
0.01,914803,13530
0.01,947761,14156
0.01,1172415,7751
0.00,663123,0
0.01,963856,14144
0.01,1072815,11465
0.02,929368,22307
0.01,935918,13848
0.01,1091561,7733
0.01,1118510,14131
0.01,987202,14786
0.00,635369,0
0.02,1054381,16011
0.00,668278,0
0.03,884320,23265
0.00,667860,0
0.02,1037037,16940
0.00,571974,0
0.00,606280,0
0.02,974527,16109
0.01,912863,13059
0.00,625919,0
0.00,691328,0
0.00,642213,0
0.02,1107225,17595
0.00,561896,0
0.00,673121,0
0.01,938074,12862
0.01,935769,13399
0.01,944895,13167
0.02,922509,22847
0.01,1074407,12752
0.01,1003246,13959
0.01,963533,14199
0.02,940685,17610
0.01,948128,14042
0.02,888957,14487
0.00,581166,0
0.02,898889,16346
0.00,663875,0
0.01,1090054,14208
0.02,936052,22906
0.02,947842,15759
0.00,679690,0
0.02,815183,13565
0.02,713293,13623
0.00,454579,0
0.00,452689,0
0.02,817880,15381
0.03,784974,24037
0.00,503706,0
0.02,776270,13673
0.05,778363,41539
0.02,719998,13963
0.01,903441,13388
0.03,831131,21868
0.02,829668,15362
0.00,427589,0
0.00,488813,0
0.00,432456,0
0.02,877548,14032
0.02,880625,13935
0.02,806126,19992
0.00,477349,0
0.03,785036,22594
0.02,883803,16630
0.02,714215,13303
0.02,801997,12882
0.02,810103,13906
0.01,974122,7771
0.03,839103,22674
0.03,752172,22543
0.03,859007,22369
0.03,808998,22370
0.00,448032,0
0.00,510471,0
0.02,796126,13666
0.00,496840,0
0.00,432175,0
0.02,756209,13324
0.00,426995,0
0.02,748505,12773
0.02,721569,13242
0.00,491953,0
0.04,600751,25834
0.02,783233,15367
0.03,802114,22885
0.00,494474,0
0.02,796394,14642
0.03,1636990,48275
0.02,1458115,30968
0.03,1601804,40568
0.02,1593634,38965
0.03,1845295,53712
0.02,1475610,35088
0.03,1589861,41395
0.03,1560850,42153
0.03,1661421,47296
0.02,1552677,36155
0.02,1897701,44665
0.03,691556,22014
0.02,825399,15107
0.02,829644,13547
0.02,863218,15772
0.02,780149,14038
0.00,438923,0
0.02,728485,13590
0.02,721988,13444
0.02,769092,14851
0.00,473781,0
0.03,741077,21564
0.02,1532557,24121
0.02,1376962,31829
0.03,1492131,40128
0.04,1682134,66651
0.03,1634916,47721
0.04,1707975,71336
0.02,1514999,23628
0.03,1749465,50736
0.03,1870831,48754
0.03,1595209,51329
0.03,1712310,57816
0.02,774511,13686
0.01,937566,13262
0.02,751062,13383
0.02,732289,13122
0.02,774140,12824
0.02,773984,14544
0.02,749076,13376
0.03,847230,23660
0.02,831309,13339
0.02,791223,18634
0.02,795004,16528
0.03,1406454,44045
0.03,1376298,40303
0.02,1514950,31235
0.02,1404152,25351
0.03,1621735,48118
0.03,1630091,49827
0.03,1673829,53241
0.02,1504333,31379
0.03,1433716,38963
0.03,1645372,44688
0.03,1644880,42799
0.03,849557,26624
0.02,772629,12591
0.02,702069,12861
0.03,815528,23998
0.02,767719,13798
0.02,780818,13823
0.03,708001,23099
0.02,779756,13126
0.00,405732,0
0.00,410978,0
0.03,764925,24117
0.00,431167,0
0.03,779236,21316
0.02,769182,14207
0.02,836005,15490
0.02,810764,13582
0.02,827310,13247
0.02,724976,15083
0.00,444300,0
0.02,772052,14241
0.02,747470,12877
0.02,803364,13141
0.03,1787973,56845
0.03,1860519,63577
0.02,1951145,48312
0.03,1937482,49606
0.03,1861348,53205
0.03,1937416,61831
0.03,2021138,60406
0.02,2052446,41329
0.03,1849520,50077
0.03,2059443,54607
0.03,1957468,60057
0.02,741546,17671
0.00,436645,0
0.02,710555,13874
0.02,755978,15265
0.01,913534,6919
0.00,447978,0
0.02,860604,13982
0.03,854223,22032
0.02,648628,13534
0.02,779209,13339
0.03,945507,23667
0.02,757405,12529
0.02,768848,13184
0.02,772940,17210
0.03,770682,22192
0.02,883561,16021
0.01,922129,7405
0.03,762404,21669
0.02,796684,14910
0.00,520803,0
0.02,822572,12913
0.00,427192,0
0.03,725226,23194
0.00,436071,0
0.02,768367,14995
0.02,853461,13035
0.00,423470,0
0.00,472237,0
0.02,799510,13779
0.02,736625,13387
0.02,796946,14733
0.02,766084,12745
0.01,915092,8916
0.02,782920,13553
0.02,699783,14921
0.00,399468,0
0.02,739120,13422
0.02,727351,15361
0.02,743394,14584
0.02,776951,13941
0.03,746557,22877
0.00,419610,0
0.02,789049,13292
0.00,472899,0
0.00,441524,0
0.02,839864,16851
0.02,775883,14955
0.00,447399,0
0.04,789846,29551
0.02,756254,13431
0.03,728628,21328
0.02,671060,13013
0.03,866745,24360
0.03,790829,21930
0.02,889935,21990
0.02,700611,15229
0.02,735132,13107
0.06,766531,43075
0.03,752937,21947
0.04,630560,23844
0.02,704668,14235
0.01,1077918,15033
0.03,663127,21526
0.03,697738,21981
0.02,848243,15180
0.02,791611,13886
0.02,844914,20731
0.00,467383,0
0.00,401876,0
0.02,775223,13309
0.03,822597,26597
0.00,495193,0
0.03,819483,21749
0.02,794668,13658
0.02,823641,13445
0.01,892320,13270
0.01,899779,13434
0.00,514803,0
0.00,544733,0
0.02,826990,13110
0.00,508852,0
0.02,908194,15747
0.02,853289,14145
0.02,867860,20800
0.02,758315,13788
0.03,830492,21647
0.02,807035,15930
0.03,852450,21710
0.03,1830038,51480
0.02,1543248,32151
0.04,1811542,64111
0.02,1590103,34445
